date,rating,content,cleaned_review,day_of_week,tf_idf_mean_score,lexicon_score,lexicon_sentiment,matched_word_count
2026-02-04,4.0,유해진 유지태야 뭐 원래 잘하는거 알고있었는데 박지훈 연기 진짜 미쳤네..,유해진 유지태 원래 잘 알 있 박 지훈 연기 미치,Wednesday,0.1718817571495436,1.0,긍정,1
2026-02-06,3.5,박지훈은 눈 하나만으로도 일 끊길 일은 없겠다 싶다,박 지훈 눈 하나 일 끊기 일 없 싶,Friday,0.1,0.0,중립,0
2026-02-09,5.0,"영월 광천리(광천골)가 시댁인 사람입니다.남편과 저는 단종에 대한 예의로다가 영화를 꼭 보자고 했었고 관람일기준으로 출산한지 60일째에 오전, 오후로 예매를 하고 한명씩 보고 왔습니다. 아기를 낳고 쭉 쪽잠만 자왔던 터라 보다가 잠들면 어쩌나 걱정하면서 보기시작했는데 처음부터 끝까지 한순간도 놓치지 않고 지루할 틈없이 큰재미와 감동받으며 영화를 보았습니다! 배우들 연기도 너무 좋았고 특히 유지태, 박지훈배우가 너무 좋았습니다.무엇보다 단종에 대해 재조명해 영화화해서 단종의 당시 상황을 입체적으로 표현한 부분이 좋았습니다.올해본 영화중에 1등입니다. 올해 첫 천만영화되길 바래요",영월 광천리 광천골 시댁 사람 남편 단종 대하 예의 영화 꼭 보 하 관람 일 기준 출산 지 일 오전 오후 예매 하 명 보 오 아기 낳 쭉 쪽 잠 자 오 터 보 잠들 어쩌 걱정 보 시작 처음 끝 순간 놓치 않 지루 틈 없이 크 재미 감동 받 영화 보 배우 연기 좋 특히 유지태 박지훈 배우 좋 무엇 단종 대하 재 조명 영화 단종 당시 상황 입체 표현 부분 좋 올해 보 영화 중 올해 첫 천만 영화 되 바래,Monday,0.2014265278891694,2.0,긍정,5
2026-02-05,5.0,"연기구멍은 호랑이 뿐, 배우들 연기가 미쳤습니다!! 그냥 엄흥도랑 단종 데려다놓은줄",연기 구멍 호랑이 뿐 배우 연기 미치 그냥 엄 흥 도랑 단종 데리 놓 줄,Thursday,0.1659187906393628,0.0,중립,0
2026-02-04,5.0,"왕의 남자, 왕이 된 남자 그리고 (new) 왕과 사는 남자... 완벽한 왕의 영화 계보... 학교에서 안 했던 조선역사 공부를 이렇게 한다",왕 남자 왕 되 남자 그리고 왕 사 남자 완벽 왕 영화 계보 학교 안 조선 역사 공부 이렇 하,Wednesday,0.1,0.0,중립,0
2026-02-04,5.0,"재미도 있지만, 엄마랑 둘이 광광 울었네요..박지훈님 그 눈망울이 계속 머릿속에 맴돌아요",재미 있 엄마 둘 광 광 울 박 지훈 눈망울 계속 머릿속 맴돌,Wednesday,0.1,2.0,긍정,1
2026-02-05,5.0,유지태 표독 눈매 리프팅 미쳤다,유지태 표독 눈매 리프팅 미치,Thursday,0.0,0.0,중립,0
2026-02-08,5.0,"""너의 상대는 나다.”청령포 절벽에 울려 퍼지는 그 포효의 순간, 폐위된 상왕 노산군의 눈빛은 마치 호랑이처럼 변해 있었다. 오달수 배우의 대사에서처럼  단순한 분노의 외침이 아니라, 백성을 향한 연민과 책임에서 비롯된 왕의 마지막 자존처럼 느껴졌다. 그의 폐위는 과연 무능 때문이었을까, 아니면 백성을 긍휼히 여기는 마음이 허락되지 않았던 시대의 비극이었을까.처음 이 영화를 보게 된 이유는 솔직히 유해진 배우에 대한 기대 때문이었다. 하지만 영화가 흐를수록 시선은 자연스럽게 ‘왕이란 무엇인가’, ‘윗사람은 어떤 눈으로 사람을 바라봐야 하는가’라는 질문으로 옮겨갔다. 진지한 서사 속에서도 유해진 배우가 연기한 엄홍도의 틈새 같은 유머는 숨 쉴 공간을 만들어주었고, 그 덕분에 영화는 무겁기만 한 비극이 아니라 사람 냄새 나는 이야기로 다가왔다.특히 인상 깊었던 장면은 마을 사람들과 함께 밥을 나누는 겸상 식사와, 백성들이 몰래 바친 조공을 다시 광천골 주민들의 몫으로 돌려주는 모습이었다. 위에서 내려다보는 권력이 아니라, 같은 자리에 앉아 온기를 나누는 윗사람의 태도. 그 장면은 자연스럽게 나 자신을 돌아보게 했다. 어른으로서, 회사의 리더로서, 나는 과연 어떤 모습으로 사람들 앞에 서 있는가를 묻지 않을 수 없었다.20여 년 전, 중학생 시절에 한 번 다녀왔던 영월의 청령포. 그때는 그저 가족여행지 중 하나였던 그 장소를, 20년이 지난 지금에서야 비로소 음미하고 곱씹게 되었다. 같은 장소였지만, 시간과 경험이 쌓인 지금에서야 그 절벽과 바람, 고독의 무게가 가슴에 닿았다.이 영화는 단순한 사극이 아니었다. 앞으로 내가 어떤 방향으로 걸어가야 하는지, 윗사람으로서 어떤 태도를 품어야 하는지를 조용히 가리켜주는 나침반 같은 작품이었다. 그래서 이 영화는 오래 남는다. 장면보다 메시지로, 감동보다 질문으로.",너 상대 나 청령포 절벽 울리 퍼지 포효 순간 폐위 상왕 노산 군 눈빛 마치 호랑이 변하 있 오달수 배우 대사 단순 분노 외침 아니 백성 향하 연민 책임 비롯 왕 마지막 자존 느끼 지 폐위 과연 무능 때문 아니 백성 긍휼 히 여기 마음 허락 않 시대 비극 처음 영화 보 되 이유 솔직히 유해진 배우 대하 기대 때문 하지만 영화 흐르 시선 자연 스럽 왕 무엇 윗사람 어떤 눈 사람 바라보 하 질문 옮기 진지 서사 속 유해진 배우 연기 엄홍도 틈새 같 유머 숨 쉬 공간 만들 주 덕분 영화 무겁 하 비극 아니 사람 냄새 나 이야기 다가오 특히 인상 깊 장면 마을 사람 함께 밥 나누 겸상 식사 백성 몰래 바치 조공 다시 광천골 주민 몫 돌리 주 모습 위 내려다보 권력 아니 같 자리 앉 온기 나누 윗사람 태도 장면 자연 스럽 나 자신 돌아보 하 어른 회사 리더 나 과연 어떤 모습 사람 앞 서 있 묻 않 없 년 전 중학 시절 번 다녀오 영월 청령포 그때 그저 가족 여행지 중 하나 장소 년 지나 지금 비로소 음미 곱씹 되 같 장소 시간 경험 쌓이 지금 절벽 바람 고독 무게 가슴 닿 영화 단순 사극 아니 앞 나 어떤 방향 걸어가 하 윗사람 어떤 태도 품 하 조용히 가리키 주 나침반 같 작품 그래서 영화 오래 남 장면 메시지 감동 질문,Sunday,0.194626702795507,-4.0,부정,8
2026-02-04,5.0,어렸을때부터 왕으로 자란 단종의 느낌이 자연스럽게 표현되어 진짜 단종이라면 저랬을것 같았어요그리고 박지훈배우의 얼굴이한몫을 합니다유해진배우님이 말씀하신 마지막 밤씬은정말최고였습니다연출적으로 아쉬운부분은 있지만저는 또보러갈겁니다,어리 때 왕 자라 단종 느낌 자연 스럽 표현 단종 저렇 같 그리고 박지훈 배우 얼굴 몫 하 유해진 배우 말씀 마지막 밤 씬 최고 연출 아쉽 부분 있 또 보,Wednesday,0.1921456398133722,2.0,긍정,1
2026-02-04,5.0,오랜만에 극장에서 본 사극이었는데 역사 찢고 나온 배우들의 열연이 정말 최고! 휴지 꼭 잊지 말고 챙겨가길!,오랜만 극장 보 사극 역사 찢 나오 배우 열연 최고 휴지 꼭 잊 말 챙기,Wednesday,0.1399710634120018,2.0,긍정,1
2026-02-15,3.0,"역대 사극 흥행작(왕의 남자, 광해 왕이 된 남자, 관상 등)에 비해 훨씬 떨어지지만 편하게 볼 가족영화로는 나쁘지 않음.엄청난 영화, 명작 소리 들을 그정돈 아닌데 개인적으로 평점들이 좀 오바하고 과한 경향이 있다고 생각이 듦.",역대 사극 흥행작 왕 남자 광해 왕이 된 남자 관상 비하 훨씬 떨어지 편하 보 가족 영화 나쁘 않 엄청나 영화 명작 소리 듣 정도 아니 개인 평점 오바 과하 경향 있 생각,Sunday,0.1410407763279316,2.0,긍정,1
2026-02-16,2.5,빈약한 서사 허술한 각본 엉성한 연출  감동적인 연기,빈약 서사 허술 각본 엉성 연출 감동 연기,Monday,0.1401275490451335,2.0,긍정,1
2026-04-24,0.5,"이게 천만 영화라고?? 우리나라 사람들 수준이 이것밖에 안되나.. 엉성한 스토리 연계, 엉성한 연출, 편집포인트가 드러나는 이상한 화면전환, 비중낮은 인물의 쓸데없는 긴시간 노출, 억지웃음 포인트, 어설픈 호랑이 CG, 한명회를 알면 이미 스토리가 예상되어 긴장감이나 몰입감 전혀없음, 천민이 왕의 팔뚝을 잡는 장면이나 그걸 멱살을 잡았었니 팔을 잡았었니 하는 시대를 반영하지않는 어설픈 설정… 언제부터 재밌지하고 인내심을 가지고 봐야할 수준인데 이게 천만이라니… 기가 차고 코가 막힐 일 ㅋㅋ 관람평들 개웃김",이것 천만 영화 우리 나라 사람 수준 이것 안 되 엉성 스토리 연계 엉성 연출 편집 포인트 드러나 이상 화면 전환 비중 낮 인물 쓸데없 길 시간 노출 억지 웃음 포인트 어설프 호랑이 한명회 알 이미 스토리 예상 긴장감 몰입 전혀 없 천민 왕 팔뚝 잡 장면 그거 멱살 잡 팔 잡 하 시대 반영 않 어설프 설정 언제 재밌 하 인내심 가지 보 하 수준 이것 천만 기 차 코 막히 일 관람 평 개 웃기,Friday,0.154627098575895,-1.0,부정,1
2026-04-30,1.0,이게 왜 천만이지???,이것 왜 천만,Thursday,0.1,0.0,중립,0
