rating,date,content
4.0,2026-05-02,"이 영화가 가장 영리한 지점은 바로 시각의 전환입니다. 대부분의 단종 관련 콘텐츠가 궁궐에서 펼쳐지는 권력 다툼에 집중했다면, 이 작품은 그 모든 게 끝나고 난 뒤, 산골 오지에 덩그러니 놓인 소년 왕의 하루하루를 카메라에 담습니다. 영화의 제목 그대로 ""왕과 사는 남자""이지, ""왕을 모시는 남자""가 아닌 이유가 여기에 있습니다. 수직적 충성이 아니라 같은 공간을 공유하는 인간적 관계를 보여주겠다는 감독의 의도가 제목 한 줄에 다 담겨 있어요.

유해진의 연기는 역시 기대를 저버리지 않습니다. 마을 사람들을 먹여살리기 위해 계산적으로 움직이다가, 어느 순간 자신도 모르게 이 소년이 신경 쓰여지는 엄흥도의 감정 변화를 자연스럽게 끌고 갑니다. 박지훈이 연기한 이홍위 역시 아이돌 출신이라는 선입견을 완전히 날려버립니다. 꼿꼿하면서도 무너지는 어린 왕의 내면을 절제된 눈빛으로 표현해냈고, 특히 후반부의 감정선이 강렬하게 남습니다. ""밥""을 매개로 두 사람이 서서히 마음을 열어가는 장면들은 이 영화에서 가장 따뜻한 순간들이에요.

올 로케이션 촬영으로 담아낸 영월·문경·평창의 풍경도 빼놓을 수 없습니다. 척박하지만 고요한 산골의 계절감이 이야기의 쓸쓸함과 정확하게 맞물리면서 영화의 정서를 완성시킵니다."
3.5,2026-05-01,다소 부족하게 느껴지는 개연성과 당위성을 배우의 힘으로 메우는 영화
3.0,2026-05-01,"기존의 정치적 암투 중심에서 벗어나 유배지에서의 생활과 단종이 겪는 심리적 고립감, 그리고 단종을 바라보는 백성의 시선을 그린 점이 마음에 든다. 영화관표 범티 CG 궁금."
3.0,2026-05-01,흥도와 단종 간 의리의 뿌리는 인간을 향한 연민과 공감. 박지훈의 연기에서 '사도' 속 유아인의 향기가 났다.
3.0,2026-05-01,"장항준 감독에 기대한 것보다는 좀 괜찮았다.
유지태, 유해진 외 다들 연기도 좋았고.
내용이 좀 너무 무난하게 클리셰 전개인데다,
대사나 신분차에 대한 고증도 너무 대충한게 느껴지고,
특히 클라이맥스에서 너무 개연성 없이 신파 전개에만 집중한 것도 
오히려 몰입 깨지게 해서 별로였다.
전체적으로, 이 정도 관객 동원을 할 정도의 영화로는 좀 많이 모자란 영화."
1.0,2026-05-01,역사적 사실이긴 한데..  재미는 없다~!
2.5,2026-05-01,결국 많이 팔리는 건 장인의 독특한 수제품이 아니라 어디서 많이 본듯한 공산품.
3.0,2026-04-30,역사적인 배경에서 오는 잔잔하지만 큰 울림
2.0,2026-04-30,슬프긴 해~
0.5,2026-04-29,천만까지 갈 수준인가? X
3.0,2026-04-29,"술픈 역사와 배우들의 연기와 전국적 열기로 만들어진 두쫀쿠를 한 알 먹은 느낌.
뒷맛이 몹시 슬프다. 그것은 사실이다."
3.0,2026-04-29,한명회 죽었는데 또 죽어라
4.5,2026-04-27,"개봉 시기가 좋았다고 생각하며 그정돈 아니다라고 말할 수 있는 수준은
광해, 극한직업, 아바타 등 수작들과 비교했을 때 정도이지 괜찮습니다.
OTT로 한번은 더"
3.0,2026-04-26,역사를 알고 보면 다르게 보이는 영화다.
4.0,2026-04-24,다른 시대극 영화들보단 못하지만 볼만하다.
2.0,2026-04-20,이 영화와 역사를 분리해서 볼 필요는 있음. 그것이 역사에 대한 평가든 영화에 대한 평가든.
4.0,2026-04-20,배우들 연기가 어마어마
2.0,2026-04-20,소재와 프로덕션을 뺀 모든 것이 낡았다
3.5,2026-04-19,"척박하여 조정조차 삶을 몰랐던 영월의 삶을 단종으로 치료하며, 그 안에 저도 있습니까."
5.0,2026-04-19,유해진이 대단하다고 생각함 무조건 상주세요 내가 진짜 최고
5.0,2026-04-19,모든 배우들의 연기가 완벽했다
3.5,2026-04-18,굿
3.0,2026-04-18,연기 잘하는 배우들을 만나는 것도 감독의 운.
1.5,2026-04-17,볼 만한 영화인건 맞지만 이런 열풍이 일어날 정도인지 몰랐다.
5.0,2026-04-17,"간만에 삼박자가 잘 맞는 영화가 나왔다. 
연기,연출,대본 이 모든 것이 최고였다."
5.0,2026-04-16,어린 왕의 삶이  가슴 저리게 느껴진 영화
5.0,2026-04-16,이 영화를 사랑 해요
5.0,2026-04-15,재미있었어요
5.0,2026-04-15,굿
5.0,2026-04-15,명작
5.0,2026-04-15,후반부에 너무 슬퍼서 감정조절하기 힘들만큼 감동적이고 재밌었습니다!!!
4.5,2026-04-15,시작에 호랑이빼고 다좋음. 왠만해서 안우는데 보고 움..
5.0,2026-04-15,사극을 어렵지않게 중간중간 코믹한장면도넣고 시간가는줄모르고 잘봄...유해진이 주인공인듯?
2.5,2026-04-15,천만 중 1인이 된 거에 만족
4.0,2026-04-15,대중들이 아는맛을 정확히 관통 유해진 하드캐리
5.0,2026-04-15,Jihoon's eye😭😭😭
4.5,2026-04-14,역사적 사실이라 결말을 알지만 그럼에도 깊게 몰입해서 봄
5.0,2026-04-14,제 생각엔 최고의 영화예요. 모든 면이 다 마음에 들어요. 여러분 모두 인생에서 꼭 한 번은 보세요!!
5.0,2026-04-14,너무 잘했죠. 박지훈은 진짠데….
5.0,2026-04-14,연기 너무 잘하네요~ 왕사남팀 화이팅입니다!
5.0,2026-04-14,love
5.0,2026-04-14,박지훈 연기가 계속 기억에 남네요.
3.0,2026-04-14,무난하면서도 먹을거리는 충분한 사극 한 편
5.0,2026-04-14,"단종 박지훈 배우 얼굴만 봐도 눈물이나요
단종 배우 캐스팅이 흥행 1등공신이라고 생각합니다.
과거에는 권력을 가지는 수양대군 시점의 사극만 많았는데
이제 실패했지만 정의로왔던 사람들에 대한 이야기가 많아지고 있어서 그점도 시사하는 바가 많다고 생각합니다.
역사는 승자의 기록이라고 하지만 
우리 모두가 불의를 기억하기를 멈추지 않는다면
의미 없는 일은 없다고 생각합니다."
2.5,2026-04-14,good actors were great
5.0,2026-04-12,유해진 유지태 연기도 좋았지만 아이돌인줄만 알았던 박지훈의 재발견
5.0,2026-04-11,슬프고 감동적이에요
4.0,2026-04-11,내 주변의 사람들이 모두 비참해지는 것을 감당할 수 있을까
3.5,2026-04-11,멀티버스 세계관이 필요했던 건 마블이 아니라 이 쪽이었는데.
2.5,2026-04-09,"단종의 인간다운 면모는 흐뭇하지만 엄흥도가 어떻게 임금으로, 사람으로 예를 다하게 되었는지 까지, 감정의 연결이 다소 아쉽다. 나쁜 영화는 아니나 훌륭한 영화 또한 아니다."
2.0,2026-04-09,설직히 이게 대체 왜 천만이넘는건지 이해불가 사도 같은 영화를 기대했는데 그냥 억지눈물호소영화임
3.0,2026-04-08,캐스팅의 이유를 보여주는 캐릭터 활용과 뛰어난 연기력이 평범한 스토리가 바닥으로 떨어지지 않도록 멱살을 잡아준다.
2.0,2026-04-08,설득되지 않는 감정들을 따라갈 수 없었다.
3.0,2026-04-08,효도템으로는 최고 하지만 나의 취향과는 거리가 먼.. 초반부 캐릭터가 너무 불호
4.0,2026-04-06,나도 펑펑 울고 싶었는데
4.0,2026-04-04,이런 슬프고 화나는 스토리를 완벽한 스토리와 연기력으로 완성한 영화. 징짜 많이 울고 화냈더
4.0,2026-04-01,적당히 재미있고 부모님 모시고 보러 가기 좋았다. 아이돌 팬으로서 데뷔 전부터 응원했던 지훈이가 연기를 너무 잘하고 존잘이라 더 볼 맛이 났다. 유해진님은 두말하면 입아프다 최고
3.5,2026-03-31,"호랑이가 막지 못한, 전 국민이 빠져든 두쫀쿠 같은 영화"
3.5,2026-03-30,감정이 한 겹만 더 쌓였어도 슬픈 장면에서 그에 맞게 눈물 흘렸을텐데
3.0,2026-03-30,깔끔한 한국형이 이런것인가. 역사라서 깔끔하게 넘어갈 수 있던것일까
3.0,2026-03-30,알고 있는 과정과 결말속에서 배우들의 연기가 너무 훌륭한 탓에 절절한 감동을 느꼈다만 엄홍도와 단종의 서사 부족은 가릴 수가 없었다. 결국 뻔한 이야기였다.
3.0,2026-03-30,원초적인 개그씬이 많음 솔직히 웃김 머리로는 별로 안슬펐는데 두 주연배우 연기에 동화됐는지 그냥 눈물 죽죽나옴 하.. 단종..
4.0,2026-03-30,"1500만을 달성할 정도로 잘 만든 영화는 아니지만, 이런 시기에 남녀노소 모두 가볍게 웃으면서 즐길 수 있을만한 영화를 만든다는 건 엄청난 업적이라 생각한다."
3.0,2026-03-29,어떤 죽음은 삶보다 숭고하다
2.0,2026-03-28,최악이다
4.5,2026-03-28,"역사적 사실이란 큰 스포에도 불구하고 스토리와 진행이 빈틈없고 재미있었다. 
탁월한 연기가 주는 몰입이 좋았다."
