rating,date,content
5.0,2026-02-08 17:13,박지훈은 찾아보니 상업영화로는 첫작품이라는데 유해진과 유지태라는 대선배님들 사이에서 전혀 밀리지 않아서 놀랐어요 얼굴도 너무 왕족이심 그냥 단종 환생이심 너무 슬퍼요 홍위야 이번 생에는 행복해라ㅠㅠ... 배우님들 연기가 역대급입니다. 그런 영화가 오랜만에 나왔어요. 유해진은 원래 잘하는걸 알지만 더 잘합니다 천상계를 뚫었어요. 유지태는 너무너무 무서워요 풍채도 목소리도 눈도 한명회 똥먹어 나쁜놈아ㅠㅠ 전미도 미도링님 너무 절절합니다 표정연기도 일품이세요 그렇게 모든 배우님들이 완벽하게 돌아가신 단종대왕의 슬픔을 위로해주시는 듯한 .. 역사가 지우려던 그 분을 다시 조명할 수 있는 그런 영화입니다. 슬프기만한건 아니고 아주 웃긴 장면은 빵빵 터집니다. 후반부로 갈수록 우리 모두가 아는 그 끝을 향해 가는데 두루마리 휴지와 손수건을 꼭 챙겨가시기 바랍니다. 그리고 이런 배우님들은 모아 연기 감독을 하고 연출하신 장항준 감독님을 다시 보게 된 기회가 되었습니다. 좋은 영화에요. 여러번 보고 싶습니다.
5.0,2026-02-04 14:11,유쾌하게 시작했다가 엄청난 여운으로 끝나는 영화ㅠㅠ오랜만에 웰메이드 사극이라 꼭 극장가서 보는 거 추천합니다!
5.0,2026-02-04 11:59,와 정말 오랜만에 사극 재밌게 찍었네ㅋㅋㅋ 박지훈 연기 잘함
5.0,2026-02-04 11:33,오랜만에 극장에서 울고 웃었다. 과몰입해서 봤더니 여운이 길게 남는.. 설연휴 흥행작 나온듯
2.0,2026-03-14 12:44,냉정히말해서 역대 천만 사극영화들은 하나부터 열까지 완벽한 명작이었는데 이작품은 명작이란 소리엔 절대 동의못하겠음
5.0,2026-02-04 14:29,홍위야 거기선 행복해야돼ㅜㅜ 박지훈 배우 눈이 넘 슬퍼요... 씬스틸러 막동이도 넘 귀여움
4.0,2026-02-04 14:54,연기로 차력쇼하는 느낌
2.0,2026-03-03 13:44,글쎄요… 마지막 장면을 위한 영화로 보영요. 저는 슬프지 않았어요. 극중 유해진님과 박지훈님 사이에 그정도로 끈끈한 유대가 생기는 이유가 납득이 안돼요. 연기력으로 슬픈장면 만들어 내는 느낌. 그리고 각 인물들과 박지훈님과의 관계도 그냥 ‘아 엄청 친해졌어 그냥 그렇게 알아’ 이런식의 느낌. 아직 천만은 아니지만 다른 천만영화와 비교했을때 정말 뒤떨어지는 연출인듯.
5.0,2026-02-07 19:51,박지훈 (단종)이 한명회 네이놈~~ 할떄 지렸다 진짜...
5.0,2026-02-05 01:04,박지훈 눈빛연기는 최고 유해진은 역시 믿고 보는 배우 유지태의 한명회는 새로웠다 올해는 박지훈의 해가 될 꺼 같다
3.0,2026-02-16 11:58,진짜 연기가 살린 영화.   억지 연출 +  억지 신파.    뜬금 호랭이….. 쩝.  ( 그러나.  단종과  유해진의 연기는 최고였음. 특히 해진이형.  연기가 물 올랐음). 추천을 한다면 유해진 연기를 추천하고 싶음
0.5,2026-03-28 09:52,"와 너무 기대를 하고봤나 천만영화 관객수도 조작이 가능한가 거의 끝물기간에 천만영화 천만영화 하길래 궁금해서 봤는데 그저그런 영화였다 휴민트도 곱절 났던데 차라리 휴민트를볼걸 그랬나 싶다 배우들 연기력은 좋았으나 줄거리도 내용도 없는 영화 안궁금해해도 되는 영화라 내용 정리 짧게 들어갑니다잇 역모를 일으킨 자들로 인하여 왕이 좌천되어 유배를감 그 유배지에서의 사람들과의 친목도모 그리고 갑자기 AI현대화시대에 개봉한 영화가 맞나 싶을정도의 조잡하고 어색한 호랑이 한마리 등장 호랑이 말 많아서 봤는데 보고나서 고개를 끄덕끄덕ㅋㅋ 옛날에 나온 영화 라이프오브 파이에 나오는 호랑이보다 퀼리티 너무떨어져서 어이가..10년전 호랑이 보다 못한 호랑이 한마리 암튼 유배되서 온 왕이 자살할려고 시도 하다가 어찌저찌 구해 마을사람들과 도와주는 백성들로 인해 힘을얻고 내부세력과 군사를모아 다시 반란을 일으켜 원래 자리를 되찾으려함 그러나 반란실패 역모를 일으킨죄로 사약대령 했으나 사약먹고 죽기 싫다고해  OO의 손으로 강건너는걸 도와줌 너무 내용이 없어서 시계만 뜸뜸이 봤는데 한시간 지났을쯤에 와 진짜 나갈까 하다가 그래도 천만관객인데 뒤에가면 재밌어지고 디테일한 부분들이 있을까 싶어봤는데 그런거 없었다 이게 왜 관객이 많은지 싶은 영화임 내돈내산 보고나서 너무 어이가 없어서 길게 끄적여봄 영화관가서 굳이 돈주고 보시지 마시고 그래도 정 궁금하신분들은 모바일로 싸게 다운받아서 보세용 티켓값이 아까운 영화 팝콘만 맛있게 먹었다 이게 호평 받을 영화가 아닌데 재밌다는 사람들ㅋㅋ 두번보라는 사람들ㅋㅋ 능지처참인가 지능경계선인가보네 님들 많이보세요 이정도 호평줄정도면 관상정도는 기대했는데 기대한 내가 바보였다.. 진짜 현대사회인데 옛날영화만도 못하다 10년도 넘은영화 국제시장,관상,왕의남자만도 못한 영화 초딩때본 20년넘은 왕의남자가 휠씬 재밌다 제글에 공감수가 많아지니 전체글 안보이게 삭제하네요 공감수천개 넘었는데 삭제하고 복붙해서 다시 올립니다 공감수가 왜 많았는지는 생각해보시길"
5.0,2026-02-04 15:39,아 재밌는데 가슴이 북북찢어지네요… 단종이 잘생겨서일까요…
0.5,2026-03-09 04:04,"천만 관객은 물타기, 평점은 우리나라 사람들 영화 보는 수준이 낮은게 아니면 사기. 특히 요즘 컴퓨터 그래픽 기술로 이렇게 허접하기 짝이 없는 호랑이씬은 손발이 오그라들만큼 충격적."
1.0,2026-03-09 01:33,이게왜천만이지;;;
0.5,2026-04-05 21:56,속았다..  내 시간..
5.0,2026-02-04 10:37,오랜만에 본 사극 진짜 만족스러웠다
3.0,2026-03-05 19:09,"솔~~~직히 천만영화 정도의 웰메이드는 아님. 그만큼 요즘 한국영화들이 경쟁력이 없다는 거겠지.. 배우연기력에 의존도가 너무 높음. 편집, 연출은 그리 뛰어나지 않음. 그냥저냥 나중에 OCN같은데서 해주면 자주 볼듯함."
5.0,2026-02-09 11:49,어린 왕 캐스팅 신의한수. 전미도 배우님도
